"speaker","count","Exact_age","Age_range","Gender","total","age_bins"
"S0465",2,41,"40-49","Male",4608,"40-49"
"S0466",14,27,"19-29","Male",13373,"20-29"
"S0467",2,25,"19-29","Male",1783,"20-29"
"S0468",1,25,"19-29","Male",1926,"20-29"
"S0469",1,26,"19-29","Female",983,"20-29"
"S0470",7,53,"50-59","Male",3296,"50-59"
"S0471",1,28,"19-29","Female",848,"20-29"
"S0472",9,24,"19-29","Female",4328,"20-29"
"S0473",1,52,"50-59","Male",1410,"50-59"
"S0474",1,28,"19-29","Female",1901,"20-29"
"S0475",145,73,"70-79","Female",46227,"70+"
"S0476",29,86,"80-89","Male",12536,"70+"
"S0477",3,19,"19-29","Female",420,"10-19"
"S0478",29,57,"50-59","Female",5888,"50-59"
"S0479",0,17,"11-18","Female",1243,"10-19"
"S0480",10,NA,"60-69","Male",11382,"60-69"
"S0481",20,60,"60-69","Male",20051,"60-69"
"S0482",37,37,"30-39","Male",17116,"30-39"
"S0483",13,37,"30-39","Female",15901,"30-39"
"S0485",34,71,"70-79","Male",10178,"70+"
"S0486",66,65,"60-69","Female",36836,"60-69"
"S0487",5,20,"19-29","Female",5507,"20-29"
"S0488",9,24,"19-29","Female",5444,"20-29"
"S0489",9,58,"50-59","Male",7204,"50-59"
"S0491",7,69,"60-69","Female",3474,"60-69"
"S0492",31,33,"30-39","Female",39808,"30-39"
"S0493",45,31,"30-39","Male",69465,"30-39"
"S0494",1,61,"60-69","Male",7420,"60-69"
"S0495",0,56,"50-59","Female",2035,"50-59"
"S0496",9,30,"30-39","Female",7629,"30-39"
"S0497",5,30,"30-39","Male",13572,"30-39"
"S0498",2,24,"19-29","Female",1948,"20-29"
"S0499",1,52,"50-59","Female",1254,"50-59"
"S0500",3,19,"19-29","Female",2601,"10-19"
"S0501",0,59,"50-59","Male",159,"50-59"
"S0502",4,23,"19-29","Female",2026,"20-29"
"S0503",7,22,"19-29","Female",4986,"20-29"
"S0504",2,58,"50-59","Male",1331,"50-59"
"S0505",2,79,"70-79","Female",5242,"70+"
"S0506",0,90,"90-99","Male",1731,"70+"
"S0507",0,78,"70-79","Female",4099,"70+"
"S0508",4,78,"70-79","Female",3657,"70+"
"S0509",45,16,"11-18","Female",35878,"10-19"
"S0510",96,47,"40-49","Female",41217,"40-49"
"S0511",70,43,"40-49","Female",34230,"40-49"
"S0512",22,12,"11-18","Male",6283,"10-19"
"S0513",22,14,"11-18","Male",7264,"10-19"
"S0514",14,16,"11-18","Male",5093,"10-19"
"S0515",12,74,"70-79","Female",7547,"70+"
"S0516",2,65,"60-69","Male",2198,"60-69"
"S0517",163,47,"40-49","Female",148776,"40-49"
"S0518",34,48,"40-49","Female",37083,"40-49"
"S0519",32,59,"50-59","Female",37097,"50-59"
"S0520",59,32,"30-39","Female",53568,"30-39"
"S0521",32,59,"50-59","Male",14050,"50-59"
"S0522",4,34,"30-39","Female",4687,"30-39"
"S0523",30,61,"60-69","Male",14842,"60-69"
"S0524",6,71,"70-79","Male",6360,"70+"
"S0525",76,48,"40-49","Female",158605,"40-49"
"S0526",3,68,"60-69","Male",3617,"60-69"
"S0527",1,48,"40-49","Male",2587,"40-49"
"S0528",2,77,"70-79","Male",1653,"70+"
"S0529",164,20,"19-29","Female",87846,"20-29"
"S0530",187,19,"19-29","Female",74687,"10-19"
"S0531",12,19,"19-29","Female",5968,"10-19"
"S0532",12,19,"19-29","Male",4695,"10-19"
"S0533",1,18,"11-18","Male",894,"10-19"
"S0534",3,76,"70-79","Male",2945,"70+"
"S0535",8,70,"70-79","Male",1700,"70+"
"S0536",3,74,"70-79","Male",1400,"70+"
"S0537",4,66,"60-69","Female",5124,"60-69"
"S0538",11,73,"70-79","Male",13098,"70+"
"S0539",30,24,"19-29","Female",8005,"20-29"
"S0540",25,38,"30-39","Female",14445,"30-39"
"S0541",58,47,"40-49","Female",21737,"40-49"
"S0542",41,20,"19-29","Male",18038,"20-29"
"S0543",80,19,"19-29","Female",30437,"10-19"
"S0544",37,20,"19-29","Male",17833,"20-29"
"S0545",5,54,"50-59","Male",6147,"50-59"
"S0546",0,88,"80-89","Female",5301,"70+"
"S0547",6,16,"11-18","Male",3831,"10-19"
"S0548",4,46,"40-49","Female",6334,"40-49"
"S0549",12,19,"19-29","Female",9841,"10-19"
"S0550",0,48,"40-49","Male",3199,"40-49"
"S0551",1,66,"60-69","Female",5135,"60-69"
"S0552",1,75,"70-79","Female",1213,"70+"
"S0553",1,76,"70-79","Male",2237,"70+"
"S0554",10,17,"11-18","Male",12000,"10-19"
