"speaker","count","Exact_age","Age_range","Gender","total","age_bins"
"S0420",5,32,"30-39","Male",7682,"30-39"
"S0421",26,18,"11-18","Female",52213,"10-19"
"S0422",2,39,"30-39","Female",4749,"30-39"
"S0423",15,50,"50-59","Male",54877,"50-59"
"S0424",8,44,"40-49","Male",15083,"40-49"
"S0425",2,28,"19-29","Male",1841,"20-29"
"S0426",7,60,"60-69","Male",12218,"60-69"
"S0427",11,64,"60-69","Male",18194,"60-69"
"S0428",37,27,"19-29","Female",37612,"20-29"
"S0429",7,29,"19-29","Female",3246,"20-29"
"S0430",4,27,"19-29","Male",2567,"20-29"
"S0431",2,29,"19-29","Female",733,"20-29"
"S0432",63,23,"19-29","Female",28627,"20-29"
"S0433",1,26,"19-29","Female",295,"20-29"
"S0434",6,30,"30-39","Female",3548,"30-39"
"S0435",23,15,"11-18","Female",8792,"10-19"
"S0436",9,22,"19-29","Female",9037,"20-29"
"S0437",13,25,"19-29","Female",3747,"20-29"
"S0438",2,28,"19-29","Female",1720,"20-29"
"S0439",439,23,"19-29","Female",205049,"20-29"
"S0440",21,58,"50-59","Female",33087,"50-59"
"S0441",158,24,"19-29","Female",52726,"20-29"
"S0442",0,35,"30-39","Female",1226,"30-39"
"S0443",25,63,"60-69","Female",11062,"60-69"
"S0444",58,25,"19-29","Female",31229,"20-29"
"S0445",8,22,"19-29","Female",6971,"20-29"
"S0446",4,61,"60-69","Male",4019,"60-69"
"S0447",7,23,"19-29","Male",3365,"20-29"
"S0448",11,20,"19-29","Female",7241,"20-29"
"S0449",2,44,"40-49","Female",1622,"40-49"
"S0450",25,24,"19-29","Female",22617,"20-29"
"S0451",24,22,"19-29","Female",12435,"20-29"
"S0452",13,54,"50-59","Male",6592,"50-59"
"S0453",17,33,"30-39","Male",19928,"30-39"
"S0454",356,36,"30-39","Female",136946,"30-39"
"S0455",35,53,"50-59","Female",27321,"50-59"
"S0456",24,44,"40-49","Male",27150,"40-49"
"S0457",3,46,"40-49","Female",3988,"40-49"
"S0458",1,21,"19-29","Female",3914,"20-29"
"S0459",0,15,"11-18","Male",155,"10-19"
"S0460",0,85,"80-89","Male",5329,"70+"
"S0463",10,47,"40-49","Male",5104,"40-49"
"S0464",1,40,"40-49","Female",3892,"40-49"
