speaker	gender	age_group	count	total	rate_pmw
S0201	Male	19-29	1	564	1773.049645390071
S0202	Female	19-29	111	117720	942.9153924566768
S0203	Male	19-29	6	19895	301.58331239004775
S0204	Female	19-29	13	12326	1054.6811617718645
S0205	Female	19-29	5	7688	650.3642039542144
S0206	Female	19-29	15	10286	1458.2928251993
S0207	Female	19-29	23	8995	2556.976097832129
S0208	Female	19-29	140	63967	2188.6285115762817
S0209	Female	19-29	3	1501	1998.6675549633578
S0210	Female	19-29	2	2053	974.184120798831
S0211	Female	19-29	18	14901	1207.9726192872963
S0212	Female	19-29	1	4167	239.98080153587713
S0213	Female	19-29	1	604	1655.6291390728477
S0214	Male	40-49	3	1833	1636.6612111292964
S0215	Female	40-49	0	581	0
S0216	Female	19-29	10	11012	908.1002542680712
S0217	Male	19-29	0	427	0
S0218	Male	19-29	4	3917	1021.1896859841717
S0219	Female	19-29	3	3608	831.4855875831486
S0220	Female	19-29	16	14393	1111.6514972556104
S0221	Male	19-29	24	9056	2650.1766784452298
S0222	Female	19-29	9	11380	790.8611599297012
S0223	Female	19-29	7	2449	2858.309514087383
S0224	Male	19-29	4	856	4672.8971962616815
S0225	Male	40-49	0	229	0
S0227	Male	50-59	77	81006	950.5468730711304
S0228	Male	19-29	19	15015	1265.4012654012654
S0229	Male	60-69	4	21996	181.8512456810329
S0230	Female	50-59	19	23145	820.9116439835817
S0231	Male	30-39	4	7613	525.4170497832654
S0232	Female	30-39	2	6738	296.82398337785696
S0233	Female	19-29	26	8446	3078.3802983660903
S0234	Male	19-29	35	8678	4033.187370361835
S0235	Female	19-29	44	36352	1210.3873239436618
S0236	Male	19-29	10	15999	625.0390649415589
S0237	Female	19-29	5	7875	634.9206349206349
S0238	Female	50-59	160	40385	3961.867029837811
S0239	Female	30-39	19	8275	2296.07250755287
S0240	Female	50-59	17	8597	1977.4339886006746
S0241	Female	40-49	69	15117	4564.397697955944
S0242	Male	60-69	0	3006	0
S0243	Female	80-89	2	3460	578.0346820809249
S0244	Male	19-29	0	3881	0
S0245	Male	19-29	5	11625	430.10752688172045
S0246	Female	19-29	53	23793	2227.545916866305
S0247	Female	60-69	7	5604	1249.1077801570307
S0248	Male	60-69	21	4271	4916.881292437368
S0249	Female	19-29	22	13219	1664.2711248959831
S0250	Male	19-29	12	6051	1983.1432821021317
S0251	Female	50-59	30	32725	916.7303284950344
S0252	Male	11-18	26	29362	885.4982630610994
S0253	Male	19-29	23	44002	522.7035134766602
S0254	Female	19-29	24	22832	1051.156271899089
S0255	Female	40-49	419	130992	3198.668620984488
S0256	Female	19-29	51	35547	1434.7202295552368
S0257	Female	40-49	53	41046	1291.2342250158358
S0258	Female	30-39	23	8776	2620.7839562443028
