text_id	modal	n_tokens	corpus	genre	text_category	n_words	time_period	variety
A21	will	2	Brown	press	press_reportage	2252	1961	AmE
A21	would	6	Brown	press	press_reportage	2252	1961	AmE
A22	can	4	Brown	press	press_reportage	2294	1961	AmE
A22	could	2	Brown	press	press_reportage	2294	1961	AmE
A22	may	0	Brown	press	press_reportage	2294	1961	AmE
A22	might	1	Brown	press	press_reportage	2294	1961	AmE
A22	must	0	Brown	press	press_reportage	2294	1961	AmE
A22	shall	3	Brown	press	press_reportage	2294	1961	AmE
A22	should	0	Brown	press	press_reportage	2294	1961	AmE
A22	will	7	Brown	press	press_reportage	2294	1961	AmE
A22	would	4	Brown	press	press_reportage	2294	1961	AmE
A23	can	2	Brown	press	press_reportage	2301	1961	AmE
A23	could	1	Brown	press	press_reportage	2301	1961	AmE
A23	may	1	Brown	press	press_reportage	2301	1961	AmE
A23	might	0	Brown	press	press_reportage	2301	1961	AmE
A23	must	1	Brown	press	press_reportage	2301	1961	AmE
A23	shall	0	Brown	press	press_reportage	2301	1961	AmE
A23	should	0	Brown	press	press_reportage	2301	1961	AmE
A23	will	9	Brown	press	press_reportage	2301	1961	AmE
A23	would	3	Brown	press	press_reportage	2301	1961	AmE
A24	can	0	Brown	press	press_reportage	2269	1961	AmE
A24	could	1	Brown	press	press_reportage	2269	1961	AmE
A24	may	2	Brown	press	press_reportage	2269	1961	AmE
A24	might	0	Brown	press	press_reportage	2269	1961	AmE
A24	must	0	Brown	press	press_reportage	2269	1961	AmE
A24	shall	0	Brown	press	press_reportage	2269	1961	AmE
A24	should	0	Brown	press	press_reportage	2269	1961	AmE
A24	will	10	Brown	press	press_reportage	2269	1961	AmE
A24	would	2	Brown	press	press_reportage	2269	1961	AmE
A25	can	1	Brown	press	press_reportage	2302	1961	AmE
A25	could	1	Brown	press	press_reportage	2302	1961	AmE
A25	may	1	Brown	press	press_reportage	2302	1961	AmE
A25	might	1	Brown	press	press_reportage	2302	1961	AmE
A25	must	0	Brown	press	press_reportage	2302	1961	AmE
A25	shall	0	Brown	press	press_reportage	2302	1961	AmE
A25	should	1	Brown	press	press_reportage	2302	1961	AmE
A25	will	3	Brown	press	press_reportage	2302	1961	AmE
A25	would	2	Brown	press	press_reportage	2302	1961	AmE
A26	can	3	Brown	press	press_reportage	2270	1961	AmE
A26	could	1	Brown	press	press_reportage	2270	1961	AmE
A26	may	1	Brown	press	press_reportage	2270	1961	AmE
A26	might	0	Brown	press	press_reportage	2270	1961	AmE
A26	must	0	Brown	press	press_reportage	2270	1961	AmE
A26	shall	0	Brown	press	press_reportage	2270	1961	AmE
A26	should	0	Brown	press	press_reportage	2270	1961	AmE
A26	will	4	Brown	press	press_reportage	2270	1961	AmE
A26	would	2	Brown	press	press_reportage	2270	1961	AmE
A27	can	6	Brown	press	press_reportage	2233	1961	AmE
A27	could	3	Brown	press	press_reportage	2233	1961	AmE
A27	may	1	Brown	press	press_reportage	2233	1961	AmE
A27	might	0	Brown	press	press_reportage	2233	1961	AmE
A27	must	4	Brown	press	press_reportage	2233	1961	AmE
A27	shall	0	Brown	press	press_reportage	2233	1961	AmE
A27	should	4	Brown	press	press_reportage	2233	1961	AmE
A27	will	10	Brown	press	press_reportage	2233	1961	AmE
A27	would	6	Brown	press	press_reportage	2233	1961	AmE
A28	can	3	Brown	press	press_reportage	2218	1961	AmE
A28	could	3	Brown	press	press_reportage	2218	1961	AmE
A28	may	5	Brown	press	press_reportage	2218	1961	AmE
A28	might	1	Brown	press	press_reportage	2218	1961	AmE
A28	must	2	Brown	press	press_reportage	2218	1961	AmE
A28	shall	0	Brown	press	press_reportage	2218	1961	AmE
A28	should	1	Brown	press	press_reportage	2218	1961	AmE
A28	will	2	Brown	press	press_reportage	2218	1961	AmE
A28	would	3	Brown	press	press_reportage	2218	1961	AmE
A29	can	2	Brown	press	press_reportage	2316	1961	AmE
A29	could	1	Brown	press	press_reportage	2316	1961	AmE
A29	may	0	Brown	press	press_reportage	2316	1961	AmE
A29	might	1	Brown	press	press_reportage	2316	1961	AmE
A29	must	1	Brown	press	press_reportage	2316	1961	AmE
A29	shall	0	Brown	press	press_reportage	2316	1961	AmE
A29	should	0	Brown	press	press_reportage	2316	1961	AmE
A29	will	14	Brown	press	press_reportage	2316	1961	AmE
A29	would	0	Brown	press	press_reportage	2316	1961	AmE
A30	can	3	Brown	press	press_reportage	2282	1961	AmE
A30	could	5	Brown	press	press_reportage	2282	1961	AmE
A30	may	0	Brown	press	press_reportage	2282	1961	AmE
A30	might	1	Brown	press	press_reportage	2282	1961	AmE
A30	must	0	Brown	press	press_reportage	2282	1961	AmE
A30	shall	0	Brown	press	press_reportage	2282	1961	AmE
A30	should	0	Brown	press	press_reportage	2282	1961	AmE
A30	will	4	Brown	press	press_reportage	2282	1961	AmE
A30	would	4	Brown	press	press_reportage	2282	1961	AmE
A31	can	5	Brown	press	press_reportage	2299	1961	AmE
A31	could	1	Brown	press	press_reportage	2299	1961	AmE
A31	may	4	Brown	press	press_reportage	2299	1961	AmE
